params,train_score,test_score,score_difference
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.677828481538859), 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 203}",0.6128899855658035,0.6131994930594671,-0.00030950749366354113
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.5882862074994094), 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 257}",0.6132897881099988,0.6130775418399549,0.00021224627004390317
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.38522980464064993), 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 322}",0.6180091480120797,0.61583616252961,0.0021729854824696915
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.512427601442365), 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.6210915027274186,0.610638517449711,0.01045298527770766
"{'bootstrap': True, 'max_depth': 4, 'max_features': np.float64(0.41507056692520816), 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 416}",0.6519909847743186,0.6359581137491223,0.01603287102519635
"{'bootstrap': True, 'max_depth': 4, 'max_features': np.float64(0.7158097238609412), 'min_samples_leaf': 7, 'min_samples_split': 13, 'n_estimators': 363}",0.6539215557642736,0.6370178277945386,0.01690372796973494
"{'bootstrap': False, 'max_depth': 3, 'max_features': np.float64(0.373818018663584), 'min_samples_leaf': 6, 'min_samples_split': 13, 'n_estimators': 444}",0.6310529254814569,0.6122007546238069,0.018852170857650008
"{'bootstrap': False, 'max_depth': 3, 'max_features': np.float64(0.2788441133807552), 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 180}",0.636270329871917,0.6170788034042947,0.019191526467622344
"{'bootstrap': True, 'max_depth': 4, 'max_features': np.float64(0.3287472841627649), 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 203}",0.6604464386287434,0.6300203509232182,0.03042608770552524
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.8383841593941412), 'min_samples_leaf': 8, 'min_samples_split': 11, 'n_estimators': 142}",0.668570437613561,0.6364648420922678,0.03210559552129322
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.8111579864780851), 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 330}",0.6690312671066485,0.6364648420922678,0.03256642501438067
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.8739463660626885), 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 266}",0.6718700940410877,0.6364648420922678,0.03540525194881983
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.43505448990556883), 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 252}",0.6899651722403898,0.6524089127398709,0.037556259500518885
"{'bootstrap': True, 'max_depth': 5, 'max_features': np.float64(0.9183883618709039), 'min_samples_leaf': 4, 'min_samples_split': 19, 'n_estimators': 459}",0.695343852061162,0.6574698883496269,0.037873963711535064
"{'bootstrap': False, 'max_depth': 4, 'max_features': np.float64(0.4946267107162783), 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 279}",0.6449362506710707,0.6054408723698119,0.03949537830125882
"{'bootstrap': False, 'max_depth': 4, 'max_features': np.float64(0.48264028704212025), 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 359}",0.6449600626246714,0.6054408723698119,0.039519190254859504
"{'bootstrap': False, 'max_depth': 4, 'max_features': np.float64(0.1732139025777098), 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 438}",0.6730677616296641,0.6327327142537481,0.04033504737591598
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.33058624923501223), 'min_samples_leaf': 8, 'min_samples_split': 14, 'n_estimators': 415}",0.7027213721661166,0.6623479371301148,0.04037343503600188
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.6130550530804285), 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 387}",0.6765760509014775,0.6340258177020239,0.04255023319945361
"{'bootstrap': True, 'max_depth': 5, 'max_features': np.float64(0.19281148195233935), 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 161}",0.7216344591625168,0.6777285090392822,0.043905950123234616
"{'bootstrap': False, 'max_depth': 6, 'max_features': np.float64(0.9479815801163675), 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 445}",0.7139259858222642,0.669696549409341,0.044229436412923206
"{'bootstrap': False, 'max_depth': 3, 'max_features': np.float64(0.1572025152574213), 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 198}",0.6764908984775414,0.6315973063479449,0.04489359212959654
"{'bootstrap': False, 'max_depth': 6, 'max_features': np.float64(0.9168098265334838), 'min_samples_leaf': 7, 'min_samples_split': 8, 'n_estimators': 336}",0.7289411234213389,0.6732562634547573,0.05568485996658157
"{'bootstrap': True, 'max_depth': 6, 'max_features': np.float64(0.9515750885935212), 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 208}",0.742516492173503,0.6757667764909222,0.06674971568258081
"{'bootstrap': False, 'max_depth': 7, 'max_features': np.float64(0.9769553268995498), 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 300}",0.7362479601169545,0.6665384333454217,0.06970952677153275
"{'bootstrap': True, 'max_depth': 6, 'max_features': np.float64(0.2596955894017505), 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 276}",0.7506673912981355,0.6798079875926882,0.0708594037054473
