params,train_score,test_score,score_difference
"{'alpha': np.float64(4.64764572123913), 'colsample_bytree': np.float64(0.9153097038938646), 'gamma': np.float64(4.825134553332563), 'lambda': np.float64(0.6214861174277236), 'learning_rate': np.float64(0.15617349504072886), 'max_depth': 3, 'min_child_weight': 2, 'subsample': np.float64(0.5906165330828301)}",0.734379748542025,0.6801633282150601,0.05421642032696494
"{'alpha': np.float64(2.4625884690943196), 'colsample_bytree': np.float64(0.5976214938990223), 'gamma': np.float64(3.6122605763075266), 'lambda': np.float64(1.403861812204279), 'learning_rate': np.float64(0.014863193286290769), 'max_depth': 3, 'min_child_weight': 1, 'subsample': np.float64(0.9972752553986706)}",0.7485897003710228,0.6892655149265824,0.0593241854444404
"{'alpha': np.float64(2.6630863322751157), 'colsample_bytree': np.float64(0.6212352518173648), 'gamma': np.float64(1.3462161547469047), 'lambda': np.float64(1.8864208155231132), 'learning_rate': np.float64(0.014014239555545274), 'max_depth': 3, 'min_child_weight': 1, 'subsample': np.float64(0.6057240034982723)}",0.7449378653065024,0.6828462550443284,0.062091610262174024
"{'alpha': np.float64(3.45468869051233), 'colsample_bytree': np.float64(0.6933676731502687), 'gamma': np.float64(4.6836499436836725), 'lambda': np.float64(0.6876047207299663), 'learning_rate': np.float64(0.0782132702100517), 'max_depth': 3, 'min_child_weight': 2, 'subsample': np.float64(0.9623468091392814)}",0.7546599144387613,0.6885253971805774,0.06613451725818398
"{'alpha': np.float64(4.865052773762228), 'colsample_bytree': np.float64(0.6965488623333802), 'gamma': np.float64(4.460232775885567), 'lambda': np.float64(3.1556931299863145), 'learning_rate': np.float64(0.1689622607083297), 'max_depth': 8, 'min_child_weight': 1, 'subsample': np.float64(0.7884519423131795)}",0.7616328037692974,0.694225565389156,0.0674072383801414
"{'alpha': np.float64(3.483685826820753), 'colsample_bytree': np.float64(0.8144714233899419), 'gamma': np.float64(4.387360067635265), 'lambda': np.float64(3.675355219019429), 'learning_rate': np.float64(0.17069618607696974), 'max_depth': 3, 'min_child_weight': 4, 'subsample': np.float64(0.5887197718898614)}",0.747745637942006,0.678546423252907,0.06919921468909895
"{'alpha': np.float64(4.046805777392568), 'colsample_bytree': np.float64(0.9050566973395904), 'gamma': np.float64(4.335361592900519), 'lambda': np.float64(4.566202762782357), 'learning_rate': np.float64(0.11226847977218755), 'max_depth': 3, 'min_child_weight': 4, 'subsample': np.float64(0.8991475894833876)}",0.7578961298022839,0.6866645897793998,0.07123154002288412
"{'alpha': np.float64(2.2527206765504677), 'colsample_bytree': np.float64(0.5645797075757475), 'gamma': np.float64(4.770255136293612), 'lambda': np.float64(3.0308731722544002), 'learning_rate': np.float64(0.05572856110069255), 'max_depth': 3, 'min_child_weight': 8, 'subsample': np.float64(0.8090641202289479)}",0.7547447533412546,0.6814669446995008,0.07327780864175382
"{'alpha': np.float64(4.74899956645962), 'colsample_bytree': np.float64(0.86285975419418), 'gamma': np.float64(3.0670759796789495), 'lambda': np.float64(2.0912151814530944), 'learning_rate': np.float64(0.19654569667080268), 'max_depth': 4, 'min_child_weight': 5, 'subsample': np.float64(0.5131834872486261)}",0.7555657562681339,0.6799867092074907,0.07557904706064322
"{'alpha': np.float64(3.2498196538888258), 'colsample_bytree': np.float64(0.8509834386288517), 'gamma': np.float64(3.978963347180505), 'lambda': np.float64(4.450026709087831), 'learning_rate': np.float64(0.07759903137030716), 'max_depth': 6, 'min_child_weight': 2, 'subsample': np.float64(0.5469909699204345)}",0.7591089404765604,0.6823037823782224,0.07680515809833799
"{'alpha': np.float64(3.3009868835886564), 'colsample_bytree': np.float64(0.6399669484729714), 'gamma': np.float64(4.77432640331597), 'lambda': np.float64(3.6894845834788423), 'learning_rate': np.float64(0.12087081050228014), 'max_depth': 8, 'min_child_weight': 7, 'subsample': np.float64(0.5238580638458243)}",0.7446046703928862,0.6656511330931089,0.07895353729977739
"{'alpha': np.float64(4.498236985725061), 'colsample_bytree': np.float64(0.8037776111467865), 'gamma': np.float64(1.2217657773232726), 'lambda': np.float64(2.491238489244701), 'learning_rate': np.float64(0.07606969625618279), 'max_depth': 3, 'min_child_weight': 1, 'subsample': np.float64(0.5037671815670374)}",0.7842599128084499,0.7046418816212838,0.07961803118716604
"{'alpha': np.float64(2.7134804157912424), 'colsample_bytree': np.float64(0.5704621124873813), 'gamma': np.float64(4.010984903770199), 'lambda': np.float64(0.3727532183988541), 'learning_rate': np.float64(0.20737738732010347), 'max_depth': 3, 'min_child_weight': 8, 'subsample': np.float64(0.5027610585618012)}",0.7595539528128455,0.678212108702865,0.08134184410998058
"{'alpha': np.float64(4.386696766904905), 'colsample_bytree': np.float64(0.6289708138575778), 'gamma': np.float64(3.299920230170895), 'lambda': np.float64(4.0861110010060795), 'learning_rate': np.float64(0.12104016231989247), 'max_depth': 6, 'min_child_weight': 1, 'subsample': np.float64(0.6209261454502258)}",0.7691909906058175,0.6878462550443284,0.08134473556148913
