params,train_score,test_score,score_difference
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.38522980464064993), 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 322}",0.6268261113779879,0.6268277988590921,-1.687481104184485e-06
"{'bootstrap': False, 'max_depth': 3, 'max_features': np.float64(0.373818018663584), 'min_samples_leaf': 6, 'min_samples_split': 13, 'n_estimators': 444}",0.6294462124249336,0.6250517996932988,0.004394412731634767
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.512427601442365), 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 200}",0.622774226734191,0.6153572925227533,0.007416934211437742
"{'bootstrap': False, 'max_depth': 3, 'max_features': np.float64(0.1572025152574213), 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 198}",0.6477878300942826,0.6366558165129421,0.011132013581340527
"{'bootstrap': False, 'max_depth': 4, 'max_features': np.float64(0.1732139025777098), 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 438}",0.6669194535185038,0.6490998576553318,0.017819595863171944
"{'bootstrap': False, 'max_depth': 3, 'max_features': np.float64(0.2788441133807552), 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 180}",0.6359652077814488,0.6175250203093517,0.01844018747209708
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.5882862074994094), 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 257}",0.6209720226745384,0.5989588148139238,0.02201320786061467
"{'bootstrap': True, 'max_depth': 4, 'max_features': np.float64(0.3287472841627649), 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 203}",0.6600802997164797,0.6331409165049715,0.02693938321150824
"{'bootstrap': True, 'max_depth': 3, 'max_features': np.float64(0.677828481538859), 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 203}",0.6260631244750945,0.5971409566257092,0.028922167849385283
"{'bootstrap': True, 'max_depth': 4, 'max_features': np.float64(0.41507056692520816), 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 416}",0.6567644219262653,0.624754715284597,0.032009706641668245
"{'bootstrap': False, 'max_depth': 4, 'max_features': np.float64(0.48264028704212025), 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 359}",0.6542230058692411,0.622065508548,0.03215749732124107
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.6130550530804285), 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 387}",0.6950549515721229,0.6626451444185179,0.032409807153605086
"{'bootstrap': True, 'max_depth': 4, 'max_features': np.float64(0.7158097238609412), 'min_samples_leaf': 7, 'min_samples_split': 13, 'n_estimators': 363}",0.6554799185700454,0.6230433720434094,0.03243654652663597
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.8383841593941412), 'min_samples_leaf': 8, 'min_samples_split': 11, 'n_estimators': 142}",0.6872554116875322,0.6544835215080143,0.03277189017951798
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.8739463660626885), 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 266}",0.6890824064453176,0.6546099351529087,0.034472471292408935
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.1185260448662222), 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 393}",0.7068870468311389,0.6715770897262653,0.03530995710487361
"{'bootstrap': False, 'max_depth': 4, 'max_features': np.float64(0.4946267107162783), 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 279}",0.6522335246427291,0.6166368310529056,0.035596693589823536
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.33058624923501223), 'min_samples_leaf': 8, 'min_samples_split': 14, 'n_estimators': 415}",0.6961623896960918,0.6601819523550894,0.035980437341002425
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.8111579864780851), 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 330}",0.6930515712015304,0.657031242658962,0.036020328542568425
"{'bootstrap': False, 'max_depth': 5, 'max_features': np.float64(0.43505448990556883), 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 252}",0.6983582707194502,0.6621221226645808,0.03623614805486941
"{'bootstrap': True, 'max_depth': 5, 'max_features': np.float64(0.9183883618709039), 'min_samples_leaf': 4, 'min_samples_split': 19, 'n_estimators': 459}",0.7069720791582874,0.6693186492508225,0.0376534299074649
"{'bootstrap': True, 'max_depth': 5, 'max_features': np.float64(0.19281148195233935), 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 161}",0.6934160393269667,0.6530318986163001,0.04038414071066665
"{'bootstrap': True, 'max_depth': 6, 'max_features': np.float64(0.9515750885935212), 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 208}",0.7391937532806121,0.6972453322543374,0.04194842102627472
"{'bootstrap': True, 'max_depth': 6, 'max_features': np.float64(0.2596955894017505), 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 276}",0.7276053759212676,0.6772073822828056,0.05039799363846198
