params,train_score,test_score,score_difference
"{'alpha': np.float64(2.6630863322751157), 'colsample_bytree': np.float64(0.6212352518173648), 'gamma': np.float64(1.3462161547469047), 'lambda': np.float64(1.8864208155231132), 'learning_rate': np.float64(0.014014239555545274), 'max_depth': 3, 'min_child_weight': 1, 'subsample': np.float64(0.6057240034982723)}",0.7247946293700108,0.688106166510107,0.03668846285990379
"{'alpha': np.float64(2.4625884690943196), 'colsample_bytree': np.float64(0.5976214938990223), 'gamma': np.float64(3.6122605763075266), 'lambda': np.float64(1.403861812204279), 'learning_rate': np.float64(0.014863193286290769), 'max_depth': 3, 'min_child_weight': 1, 'subsample': np.float64(0.9972752553986706)}",0.724737409609873,0.6793511226224058,0.04538628698746716
"{'alpha': np.float64(3.405197135484545), 'colsample_bytree': np.float64(0.618753235646235), 'gamma': np.float64(2.001114464360124), 'lambda': np.float64(2.3885744544011382), 'learning_rate': np.float64(0.026578264338670846), 'max_depth': 3, 'min_child_weight': 6, 'subsample': np.float64(0.718167915803278)}",0.744111938515371,0.6927696601376219,0.051342278377749184
"{'alpha': np.float64(1.092202186084168), 'colsample_bytree': np.float64(0.7082549739351831), 'gamma': np.float64(4.416401294594341), 'lambda': np.float64(1.62172510502637), 'learning_rate': np.float64(0.03441759094013467), 'max_depth': 3, 'min_child_weight': 7, 'subsample': np.float64(0.9534142207728771)}",0.7619347134690615,0.7012684846805023,0.06066622878855921
"{'alpha': np.float64(0.3324813368338875), 'colsample_bytree': np.float64(0.8705603246450295), 'gamma': np.float64(2.8723655658995595), 'lambda': np.float64(4.20914388379136), 'learning_rate': np.float64(0.0379544753252579), 'max_depth': 3, 'min_child_weight': 5, 'subsample': np.float64(0.6008136600238723)}",0.7725247840184609,0.7062612081095196,0.06626357590894127
"{'alpha': np.float64(3.0910903165813055), 'colsample_bytree': np.float64(0.5505613380613952), 'gamma': np.float64(0.42053403057498717), 'lambda': np.float64(3.5048456572955997), 'learning_rate': np.float64(0.024552601272838707), 'max_depth': 4, 'min_child_weight': 2, 'subsample': np.float64(0.5406743903209499)}",0.7850168409193401,0.7138382245468049,0.0711786163725352
"{'alpha': np.float64(2.424149856794916), 'colsample_bytree': np.float64(0.8462180164451352), 'gamma': np.float64(1.3470616689926074), 'lambda': np.float64(1.220627611238871), 'learning_rate': np.float64(0.043658208434586114), 'max_depth': 3, 'min_child_weight': 4, 'subsample': np.float64(0.681814801189647)}",0.7810777855127965,0.7090618419335775,0.07201594357921903
"{'alpha': np.float64(2.2527206765504677), 'colsample_bytree': np.float64(0.5645797075757475), 'gamma': np.float64(4.770255136293612), 'lambda': np.float64(3.0308731722544002), 'learning_rate': np.float64(0.05572856110069255), 'max_depth': 3, 'min_child_weight': 8, 'subsample': np.float64(0.8090641202289479)}",0.7814736880085151,0.7067829434179599,0.07469074459055525
"{'alpha': np.float64(2.8614623458541915), 'colsample_bytree': np.float64(0.9901657918580229), 'gamma': np.float64(0.37673128003064105), 'lambda': np.float64(1.5284850964359094), 'learning_rate': np.float64(0.04818220623006921), 'max_depth': 3, 'min_child_weight': 3, 'subsample': np.float64(0.5847463733430462)}",0.79040464292698,0.7156145338239325,0.07479010910304751
"{'alpha': np.float64(4.858910413604804), 'colsample_bytree': np.float64(0.9812236474710556), 'gamma': np.float64(1.2589114791268208), 'lambda': np.float64(2.4862425294619275), 'learning_rate': np.float64(0.07017566196335394), 'max_depth': 3, 'min_child_weight': 8, 'subsample': np.float64(0.5184434736772664)}",0.8034145288796203,0.7236361001899939,0.07977842868962637
"{'alpha': np.float64(4.498236985725061), 'colsample_bytree': np.float64(0.8037776111467865), 'gamma': np.float64(1.2217657773232726), 'lambda': np.float64(2.491238489244701), 'learning_rate': np.float64(0.07606969625618279), 'max_depth': 3, 'min_child_weight': 1, 'subsample': np.float64(0.5037671815670374)}",0.8106709303249499,0.7300350238658732,0.0806359064590767
"{'alpha': np.float64(3.248868413213817), 'colsample_bytree': np.float64(0.5240294620985169), 'gamma': np.float64(4.7457286579569296), 'lambda': np.float64(4.433401936490238), 'learning_rate': np.float64(0.062178724668342795), 'max_depth': 4, 'min_child_weight': 3, 'subsample': np.float64(0.7515681292900438)}",0.7978887951371986,0.7167559296016478,0.08113286553555077
"{'alpha': np.float64(3.4770556155332377), 'colsample_bytree': np.float64(0.5377172735448846), 'gamma': np.float64(0.8310771595462646), 'lambda': np.float64(1.084045532932456), 'learning_rate': np.float64(0.06889878936788597), 'max_depth': 3, 'min_child_weight': 5, 'subsample': np.float64(0.8484625279319074)}",0.8103008623012242,0.7228082420935699,0.08749262020765436
"{'alpha': np.float64(4.961057796456087), 'colsample_bytree': np.float64(0.8087407548138583), 'gamma': np.float64(3.0582658024414044), 'lambda': np.float64(0.03533152609858703), 'learning_rate': np.float64(0.014612485008283152), 'max_depth': 5, 'min_child_weight': 3, 'subsample': np.float64(0.6912309956335814)}",0.7959434147479163,0.7060668916836897,0.08987652306422655
"{'alpha': np.float64(4.64764572123913), 'colsample_bytree': np.float64(0.9153097038938646), 'gamma': np.float64(4.825134553332563), 'lambda': np.float64(0.6214861174277236), 'learning_rate': np.float64(0.15617349504072886), 'max_depth': 3, 'min_child_weight': 2, 'subsample': np.float64(0.5906165330828301)}",0.8001930564544443,0.7100180941682864,0.09017496228615784
"{'alpha': np.float64(3.45468869051233), 'colsample_bytree': np.float64(0.6933676731502687), 'gamma': np.float64(4.6836499436836725), 'lambda': np.float64(0.6876047207299663), 'learning_rate': np.float64(0.0782132702100517), 'max_depth': 3, 'min_child_weight': 2, 'subsample': np.float64(0.9623468091392814)}",0.7901987634138107,0.6985122472666101,0.09168651614720058
"{'alpha': np.float64(4.046805777392568), 'colsample_bytree': np.float64(0.9050566973395904), 'gamma': np.float64(4.335361592900519), 'lambda': np.float64(4.566202762782357), 'learning_rate': np.float64(0.11226847977218755), 'max_depth': 3, 'min_child_weight': 4, 'subsample': np.float64(0.8991475894833876)}",0.7993981869255131,0.7073303130134009,0.09206787391211224
"{'alpha': np.float64(3.3009868835886564), 'colsample_bytree': np.float64(0.6399669484729714), 'gamma': np.float64(4.77432640331597), 'lambda': np.float64(3.6894845834788423), 'learning_rate': np.float64(0.12087081050228014), 'max_depth': 8, 'min_child_weight': 7, 'subsample': np.float64(0.5238580638458243)}",0.808785073534982,0.7165308456451301,0.09225422788985183
"{'alpha': np.float64(2.9238305297457683), 'colsample_bytree': np.float64(0.7001502444551406), 'gamma': np.float64(3.488337868484659), 'lambda': np.float64(0.9003363617464927), 'learning_rate': np.float64(0.1493002932454158), 'max_depth': 3, 'min_child_weight': 3, 'subsample': np.float64(0.9371588024272086)}",0.8181344664976795,0.7223274478551611,0.0958070186425184
"{'alpha': np.float64(3.483685826820753), 'colsample_bytree': np.float64(0.8144714233899419), 'gamma': np.float64(4.387360067635265), 'lambda': np.float64(3.675355219019429), 'learning_rate': np.float64(0.17069618607696974), 'max_depth': 3, 'min_child_weight': 4, 'subsample': np.float64(0.5887197718898614)}",0.8064490353948756,0.7033978625377069,0.1030511728571687
"{'alpha': np.float64(4.485551299762886), 'colsample_bytree': np.float64(0.9435432121325587), 'gamma': np.float64(3.899377729288119), 'lambda': np.float64(3.2101582307714387), 'learning_rate': np.float64(0.026827992999009766), 'max_depth': 6, 'min_child_weight': 6, 'subsample': np.float64(0.8344941273571143)}",0.8196429455164581,0.7154395194153544,0.10420342610110367
"{'alpha': np.float64(2.7134804157912424), 'colsample_bytree': np.float64(0.5704621124873813), 'gamma': np.float64(4.010984903770199), 'lambda': np.float64(0.3727532183988541), 'learning_rate': np.float64(0.20737738732010347), 'max_depth': 3, 'min_child_weight': 8, 'subsample': np.float64(0.5027610585618012)}",0.8212339419755875,0.7167919668178714,0.10444197515771614
"{'alpha': np.float64(1.8727005942368125), 'colsample_bytree': np.float64(0.9753571532049581), 'gamma': np.float64(3.6599697090570253), 'lambda': np.float64(2.993292420985183), 'learning_rate': np.float64(0.0412037280884873), 'max_depth': 5, 'min_child_weight': 7, 'subsample': np.float64(0.5290418060840998)}",0.8289233956746195,0.7211912794271663,0.10773211624745316
"{'alpha': np.float64(2.89140070498087), 'colsample_bytree': np.float64(0.517971136898371), 'gamma': np.float64(2.3279900906623006), 'lambda': np.float64(2.713223173537883), 'learning_rate': np.float64(0.06730825042565688), 'max_depth': 4, 'min_child_weight': 6, 'subsample': np.float64(0.625125680257932)}",0.8335380223671616,0.7248479187000363,0.10869010366712528
"{'alpha': np.float64(2.238915822865458), 'colsample_bytree': np.float64(0.776446544535664), 'gamma': np.float64(2.9634836193969676), 'lambda': np.float64(0.40426663166357624), 'learning_rate': np.float64(0.0839308912122809), 'max_depth': 3, 'min_child_weight': 6, 'subsample': np.float64(0.6838915663596266)}",0.8203695119635602,0.7115323413883211,0.10883717057523912
"{'alpha': np.float64(4.916154429033941), 'colsample_bytree': np.float64(0.73338144662399), 'gamma': np.float64(4.299702033681603), 'lambda': np.float64(3.4015376929388985), 'learning_rate': np.float64(0.1000998503939086), 'max_depth': 4, 'min_child_weight': 4, 'subsample': np.float64(0.9711008778424264)}",0.8123994887704163,0.7025905983894145,0.10980889038100183
"{'alpha': np.float64(2.405726970281466), 'colsample_bytree': np.float64(0.8438923585480416), 'gamma': np.float64(2.558285067736306), 'lambda': np.float64(0.7848884135809686), 'learning_rate': np.float64(0.08545719304841452), 'max_depth': 3, 'min_child_weight': 4, 'subsample': np.float64(0.9031006398965307)}",0.8333926055754494,0.7203951874920629,0.11299741808338648
"{'alpha': np.float64(2.6717313751473153), 'colsample_bytree': np.float64(0.8749553747349859), 'gamma': np.float64(4.5658287612882145), 'lambda': np.float64(2.92574766162736), 'learning_rate': np.float64(0.15522416881436962), 'max_depth': 4, 'min_child_weight': 3, 'subsample': np.float64(0.6236740508715988)}",0.8259507139338054,0.7114211880956546,0.11452952583815079
"{'alpha': np.float64(0.40116872830821104), 'colsample_bytree': np.float64(0.7622556947851273), 'gamma': np.float64(2.0519841349483077), 'lambda': np.float64(4.911893084543032), 'learning_rate': np.float64(0.03240778043361047), 'max_depth': 4, 'min_child_weight': 4, 'subsample': np.float64(0.9847352166376844)}",0.8178750433613308,0.7032518811691413,0.11462316219218949
